rank,feature,random_forest_importance,selected,ridge_coefficient,absolute_ridge_coefficient
9365,PSME1 (5720),1.3260952091231873e-05,True,-0.0017191258658194762,0.0017191258658194762
9366,SLC9C2 (284525),1.32513727364257e-05,True,-0.00045856803551109674,0.00045856803551109674
9367,ATP11A (23250),1.324639563730189e-05,True,0.0015010906137884663,0.0015010906137884663
9368,TMEM267 (64417),1.3239492659825051e-05,True,0.002052931079757081,0.002052931079757081
9369,ANKRD1 (27063),1.3234213717687426e-05,True,0.0006213527402316365,0.0006213527402316365
9370,RAPGEF2 (9693),1.3232846486638301e-05,True,-0.00016859709719254453,0.00016859709719254453
9371,GNG11 (2791),1.323076271532969e-05,True,-4.6278279930531845e-05,4.6278279930531845e-05
9372,SPC25 (57405),1.3230057504987207e-05,True,-0.00034590565218743045,0.00034590565218743045
9373,TMEM52B (120939),1.3229645760935439e-05,True,0.001296824555701878,0.001296824555701878
9374,ABHD12B (145447),1.3229627293205693e-05,True,0.0017485606327974036,0.0017485606327974036
9375,SPATA7 (55812),1.32275015854455e-05,True,-0.0046622078476532824,0.0046622078476532824
9376,EXOC2 (55770),1.322285819199115e-05,True,0.0013708333388995915,0.0013708333388995915
9377,DNAJC7 (7266),1.322003527084323e-05,True,9.998211534788975e-05,9.998211534788975e-05
9378,NGFR (4804),1.3214720996906434e-05,True,-0.0019891939129923165,0.0019891939129923165
9379,FUT7 (2529),1.3214550504343273e-05,True,0.0007954004658629243,0.0007954004658629243
9380,H2AC13 (8329),1.3208878232673284e-05,True,0.000166322438406851,0.000166322438406851
9381,OCLN (100506658),1.320811837541949e-05,True,0.00019496376805427386,0.00019496376805427386
9382,NDUFA4 (4697),1.3202538656421879e-05,True,0.0003381077528783623,0.0003381077528783623
9383,PLAU (5328),1.3201920699285655e-05,True,-0.0014000173346015259,0.0014000173346015259
9384,STXBP5L (9515),1.3201292046694153e-05,True,2.7308568451621688e-05,2.7308568451621688e-05
9385,RHEB (6009),1.3199416453764403e-05,True,0.0013249854210995726,0.0013249854210995726
9386,EGFLAM (133584),1.3196348892105758e-05,True,0.003244014100031633,0.003244014100031633
9387,CCDC158 (339965),1.319581640036391e-05,True,-0.0012721472750372568,0.0012721472750372568
9388,LIN7B (64130),1.3175562474593784e-05,True,-8.56900925384793e-05,8.56900925384793e-05
9389,FCMR (9214),1.3170079034679508e-05,True,0.0016491510126638497,0.0016491510126638497
9390,ANTXR2 (118429),1.316306345776668e-05,True,-0.0008258461659987631,0.0008258461659987631
9391,TM2D2 (83877),1.3161916271506005e-05,True,-0.0009458229666947605,0.0009458229666947605
9392,CYBRD1 (79901),1.316102004681157e-05,True,-0.0023480549957337654,0.0023480549957337654
9393,PRR7 (80758),1.3157230909467446e-05,True,0.00016670492095901515,0.00016670492095901515
9394,RHEBL1 (121268),1.3155114978770908e-05,True,-0.0007180992974530892,0.0007180992974530892
9395,TSPAN33 (340348),1.3154076494337364e-05,True,0.002957665590957185,0.002957665590957185
9396,MTG1 (92170),1.3148791651152787e-05,True,-0.00048316307665209125,0.00048316307665209125
9397,TRABD2B (388630),1.3142854915176321e-05,True,0.00030098346223345757,0.00030098346223345757
9398,SURF6 (6838),1.3140807335249544e-05,True,2.2574690444810298e-05,2.2574690444810298e-05
