feature,coefficient,absolute_coefficient
ACTBL2 (345651),0.002340209265055873,0.002340209265055873
POLB (5423),-0.0023398221094995224,0.0023398221094995224
MEIKIN (728637),-0.002339766981644097,0.002339766981644097
XRCC4 (7518),-0.002339185648596715,0.002339185648596715
SUB1 (10923),0.002338521859195872,0.002338521859195872
RGS16 (6004),-0.0023382381511483316,0.0023382381511483316
ATP11C (286410),0.0023379351343975185,0.0023379351343975185
NUDT13 (25961),-0.0023374348144088518,0.0023374348144088518
CCDC22 (28952),0.0023371051260536657,0.0023371051260536657
NPNT (255743),0.0023370949901169243,0.0023370949901169243
GPN2 (54707),-0.002336514628225897,0.002336514628225897
GPR31 (2853),0.002336082137120663,0.002336082137120663
HOXD11 (3237),-0.0023360192075831325,0.0023360192075831325
ELK1 (2002),0.0023359205908082773,0.0023359205908082773
EFCAB13 (124989),0.002335632124526495,0.002335632124526495
SLC41A3 (54946),-0.002335565287185752,0.002335565287185752
IPO11 (51194),-0.0023352569108980393,0.0023352569108980393
MNS1 (55329),0.002334958787861198,0.002334958787861198
UCN2 (90226),-0.002334232241464031,0.002334232241464031
STOML2 (30968),-0.002334134231017647,0.002334134231017647
EHD2 (30846),-0.002333952763301985,0.002333952763301985
ALDOB (229),0.0023327193491288036,0.0023327193491288036
EHF (26298),-0.002332012083490477,0.002332012083490477
VWA1 (64856),-0.002331230438800907,0.002331230438800907
SLC49A3 (84179),0.0023308272064959576,0.0023308272064959576
DPAGT1 (1798),0.002330702176141796,0.002330702176141796
CHST15 (51363),0.00233038215770318,0.00233038215770318
DLX3 (1747),0.0023302929941608945,0.0023302929941608945
AQP2 (359),-0.002329471498678204,0.002329471498678204
NLRC4 (58484),-0.0023292560429905842,0.0023292560429905842
PRSS38 (339501),-0.002329188306740287,0.002329188306740287
PITX2 (5308),-0.002329186700659647,0.002329186700659647
C1QTNF12 (388581),0.002329090785011741,0.002329090785011741
VSTM2L (128434),0.002328708746854541,0.002328708746854541
KIF25 (3834),0.0023277773742679505,0.0023277773742679505
NRAP (4892),0.0023276813063059848,0.0023276813063059848
RWDD2A (112611),0.002327363656492206,0.002327363656492206
NUDT4B (440672),-0.0023272548761489606,0.0023272548761489606
CTF1 (1489),-0.002326818424420741,0.002326818424420741
GABRG1 (2565),-0.0023266937737786747,0.0023266937737786747
DUSP14 (11072),0.0023265696826408394,0.0023265696826408394
C8G (733),0.00232651336114161,0.00232651336114161
ARMC1 (55156),0.0023259298121823683,0.0023259298121823683
PTGDS (5730),0.0023256135903870637,0.0023256135903870637
CD247 (919),-0.0023253441199297905,0.0023253441199297905
TAS2R3 (50831),-0.0023251670932247217,0.0023251670932247217
NCOA7 (135112),-0.002325042434049354,0.002325042434049354
ZNF213 (7760),0.002324726210487662,0.002324726210487662
IDNK (414328),-0.002323905616031328,0.002323905616031328
IL1RL2 (8808),-0.00232338885974191,0.00232338885974191
MYRIP (25924),0.0023230450780513177,0.0023230450780513177
TAAR6 (319100),0.0023227704797618796,0.0023227704797618796
