feature,coefficient,absolute_coefficient
TACR3 (6870),6.8444584690106306e-06,6.8444584690106306e-06
CTAG1A (246100),6.8443536075361575e-06,6.8443536075361575e-06
TM4SF20 (79853),6.844115720927472e-06,6.844115720927472e-06
JAK3 (3718),6.843945085152101e-06,6.843945085152101e-06
AFF2 (2334),-6.8434206523000576e-06,6.8434206523000576e-06
EXOSC7 (23016),-6.843400822571716e-06,6.843400822571716e-06
P3H2 (55214),-6.8422770125021175e-06,6.8422770125021175e-06
PREPL (9581),6.841943768303273e-06,6.841943768303273e-06
DIO3 (1735),6.841283776882751e-06,6.841283776882751e-06
CYP2J2 (1573),6.840267376580514e-06,6.840267376580514e-06
MIS18BP1 (55320),-6.839951725738805e-06,6.839951725738805e-06
TM2D3 (80213),-6.8391511141117685e-06,6.8391511141117685e-06
ULBP3 (79465),6.838458466960246e-06,6.838458466960246e-06
PITPNC1 (26207),-6.838250650475758e-06,6.838250650475758e-06
RFC5 (5985),-6.837692245793978e-06,6.837692245793978e-06
DLX2 (1746),6.8375744107534524e-06,6.8375744107534524e-06
CPAP (55835),6.837565828032962e-06,6.837565828032962e-06
TAS2R39 (259285),-6.837039649341833e-06,6.837039649341833e-06
TP53TG3D (729264),6.835980362916247e-06,6.835980362916247e-06
RPL37 (6167),-6.835805269482389e-06,6.835805269482389e-06
DAPK3 (1613),-6.835764223637684e-06,6.835764223637684e-06
C1orf141 (400757),-6.835750295350532e-06,6.835750295350532e-06
VTCN1 (79679),6.835212641159947e-06,6.835212641159947e-06
TSHB (7252),6.834139211481111e-06,6.834139211481111e-06
FERRY3 (57102),-6.833454637930056e-06,6.833454637930056e-06
ROMO1 (140823),-6.83269180365617e-06,6.83269180365617e-06
PARP6 (56965),-6.832680455861901e-06,6.832680455861901e-06
KRT18 (3875),-6.832627184128528e-06,6.832627184128528e-06
GPS2 (2874),-6.831180112023444e-06,6.831180112023444e-06
NACAD (23148),-6.831044847227452e-06,6.831044847227452e-06
TPST2 (8459),-6.828401335157263e-06,6.828401335157263e-06
SNRNP40 (9410),-6.828314578486837e-06,6.828314578486837e-06
ATP6V1C2 (245973),-6.827501741295024e-06,6.827501741295024e-06
FNDC1 (84624),6.826651021301717e-06,6.826651021301717e-06
RAB35 (11021),-6.826386608286218e-06,6.826386608286218e-06
CHML (1122),-6.8262906470665326e-06,6.8262906470665326e-06
MALSU1 (115416),-6.8252096729698415e-06,6.8252096729698415e-06
GRXCR2 (643226),-6.825032308504579e-06,6.825032308504579e-06
LIPC (3990),6.823645587521534e-06,6.823645587521534e-06
EXOSC9 (5393),-6.820725139615022e-06,6.820725139615022e-06
H4C16 (121504),6.820229134536741e-06,6.820229134536741e-06
RHBDF1 (64285),6.820177085948833e-06,6.820177085948833e-06
YJEFN3 (374887),6.819634240881656e-06,6.819634240881656e-06
CDIP1 (29965),-6.81918427417087e-06,6.81918427417087e-06
ANKRD18B (441459),-6.818502508077314e-06,6.818502508077314e-06
BRAF (673),6.81751006965145e-06,6.81751006965145e-06
CHST6 (4166),6.817490390212308e-06,6.817490390212308e-06
RPL18 (6141),-6.816579824622855e-06,6.816579824622855e-06
DBP (1628),6.816384865832289e-06,6.816384865832289e-06
AKAIN1 (642597),-6.8139977398313525e-06,6.8139977398313525e-06
RRBP1 (6238),6.812889552535174e-06,6.812889552535174e-06
DHX37 (57647),-6.81222853385086e-06,6.81222853385086e-06
SYT11 (23208),-6.811279967940181e-06,6.811279967940181e-06
WASHC2A (387680),-6.811119223558138e-06,6.811119223558138e-06
ZNF827 (152485),-6.8088956695199524e-06,6.8088956695199524e-06
POLK (51426),-6.808004663661856e-06,6.808004663661856e-06
CNPY2 (10330),6.8071298575661905e-06,6.8071298575661905e-06
HPGD (3248),6.80669458015998e-06,6.80669458015998e-06
YKT6 (10652),-6.806413166351494e-06,6.806413166351494e-06
OLFM1 (10439),6.806224483555883e-06,6.806224483555883e-06
DNAH7 (56171),-6.804047492783975e-06,6.804047492783975e-06
KCND2 (3751),6.803254055504892e-06,6.803254055504892e-06
CLTB (1212),-6.802521682879501e-06,6.802521682879501e-06
PRELP (5549),6.802331994751105e-06,6.802331994751105e-06
SPRR5 (110806278),6.802237951319696e-06,6.802237951319696e-06
LY6G6C (80740),6.801791219034023e-06,6.801791219034023e-06
NOP14 (8602),6.80139083379096e-06,6.80139083379096e-06
EIF2B3 (8891),-6.801359416290738e-06,6.801359416290738e-06
CDKN1A (1026),-6.801319128842458e-06,6.801319128842458e-06
RSL24D1 (51187),-6.800881838152872e-06,6.800881838152872e-06
HTD2 (109703458),6.800245848170724e-06,6.800245848170724e-06
LRRC3 (81543),6.7997812110901745e-06,6.7997812110901745e-06
RPL28 (6158),-6.799383332019053e-06,6.799383332019053e-06
TSGA10 (80705),6.798139109217984e-06,6.798139109217984e-06
NKX2-5 (1482),6.797743878931915e-06,6.797743878931915e-06
POU6F1 (5463),6.796376957676937e-06,6.796376957676937e-06
TEP1 (7011),6.796148638546554e-06,6.796148638546554e-06
NOP16 (51491),-6.795225588389811e-06,6.795225588389811e-06
PDLIM5 (10611),-6.795166855395531e-06,6.795166855395531e-06
OR6K2 (81448),6.793244244415385e-06,6.793244244415385e-06
C11orf65 (160140),6.793027434275352e-06,6.793027434275352e-06
CHSY3 (337876),-6.792783308513369e-06,6.792783308513369e-06
TRIM58 (25893),6.792469627152061e-06,6.792469627152061e-06
DYNC1LI1 (51143),-6.792383742191974e-06,6.792383742191974e-06
CAB39 (51719),-6.7914123808204525e-06,6.7914123808204525e-06
TMED3 (23423),-6.7903790573917595e-06,6.7903790573917595e-06
SPARCL1 (8404),6.7901892371974184e-06,6.7901892371974184e-06
WNT10B (7480),-6.789668636658802e-06,6.789668636658802e-06
FAM24A (118670),-6.787275401643193e-06,6.787275401643193e-06
C3orf18 (51161),-6.786552645206557e-06,6.786552645206557e-06
SNX14 (57231),-6.783981324832592e-06,6.783981324832592e-06
GPR65 (8477),-6.783943365894315e-06,6.783943365894315e-06
NLN (57486),-6.7834224469665845e-06,6.7834224469665845e-06
COX18 (285521),6.783276692644468e-06,6.783276692644468e-06
KCNMB3 (27094),6.783046477218945e-06,6.783046477218945e-06
ZNF599 (148103),-6.782325200991859e-06,6.782325200991859e-06
SEPTIN11 (55752),-6.7817876019640694e-06,6.7817876019640694e-06
PM20D2 (135293),-6.779009350213865e-06,6.779009350213865e-06
SOS1 (6654),6.777328315048772e-06,6.777328315048772e-06
DIXDC1 (85458),6.775849589866979e-06,6.775849589866979e-06
SLC35F2 (54733),-6.775256294796487e-06,6.775256294796487e-06
HARS1 (3035),-6.7751871167264335e-06,6.7751871167264335e-06
TMEM64 (169200),6.774737753144448e-06,6.774737753144448e-06
DNM1 (1759),-6.774658029152629e-06,6.774658029152629e-06
ZC3H11A (9877),6.774611135545521e-06,6.774611135545521e-06
MVK (4598),-6.774357520272759e-06,6.774357520272759e-06
CENATAC (338657),-6.773990437591387e-06,6.773990437591387e-06
GNG8 (94235),-6.773963474686461e-06,6.773963474686461e-06
CCN2 (1490),-6.773727322767141e-06,6.773727322767141e-06
TMEM121 (80757),6.7736410773293786e-06,6.7736410773293786e-06
RALA (5898),-6.7725975074153686e-06,6.7725975074153686e-06
RPL36A (6173),-6.7702513414983304e-06,6.7702513414983304e-06
ADNP (23394),6.770161531872197e-06,6.770161531872197e-06
ZNF273 (10793),6.769400393434558e-06,6.769400393434558e-06
SYDE2 (84144),6.7686642385338605e-06,6.7686642385338605e-06
FAM184B (27146),6.766743798839214e-06,6.766743798839214e-06
OVCA2 (124641),6.76537396555309e-06,6.76537396555309e-06
ADARB1 (104),-6.76404970139331e-06,6.76404970139331e-06
QRFP (347148),6.763516652689588e-06,6.763516652689588e-06
SHROOM4 (57477),6.763450939203389e-06,6.763450939203389e-06
ATP6AP1 (537),6.761679370793083e-06,6.761679370793083e-06
MRPL47 (57129),-6.761321928960597e-06,6.761321928960597e-06
TSPAN3 (10099),-6.760748570793181e-06,6.760748570793181e-06
MYO1F (4542),6.759219904827747e-06,6.759219904827747e-06
CDSN (1041),6.7581513003398515e-06,6.7581513003398515e-06
PTPRG (5793),6.757874282786883e-06,6.757874282786883e-06
TDO2 (6999),-6.757594011982911e-06,6.757594011982911e-06
RIPK3 (11035),6.756257576917448e-06,6.756257576917448e-06
DUOX1 (53905),6.756053071255963e-06,6.756053071255963e-06
OR5B17 (219965),6.754809777440931e-06,6.754809777440931e-06
DNAJC5 (80331),-6.754099716299558e-06,6.754099716299558e-06
PARP16 (54956),6.753197594309548e-06,6.753197594309548e-06
AHDC1 (27245),-6.7509667533944e-06,6.7509667533944e-06
EMC6 (83460),-6.749140169555805e-06,6.749140169555805e-06
SOX3 (6658),6.747557413206436e-06,6.747557413206436e-06
RAB6C (84084),6.745171493077472e-06,6.745171493077472e-06
IL1F10 (84639),-6.745072016889089e-06,6.745072016889089e-06
SKAP2 (8935),6.744779648033721e-06,6.744779648033721e-06
SRGAP2 (23380),-6.744778963405061e-06,6.744778963405061e-06
DAZAP2 (9802),6.743463697918738e-06,6.743463697918738e-06
EDEM1 (9695),-6.743269463175726e-06,6.743269463175726e-06
USP12 (219333),-6.743011140681954e-06,6.743011140681954e-06
ARL13B (200894),6.742238810063535e-06,6.742238810063535e-06
ETNK1 (55500),-6.7418966597488276e-06,6.7418966597488276e-06
FTH1 (2495),6.741773093559876e-06,6.741773093559876e-06
SYNGR1 (9145),6.741769765208446e-06,6.741769765208446e-06
PITPNM3 (83394),6.74163796116055e-06,6.74163796116055e-06
ZNF543 (125919),6.7413015107503474e-06,6.7413015107503474e-06
SP7 (121340),6.740738246509104e-06,6.740738246509104e-06
PSMD2 (5708),-6.740295117728019e-06,6.740295117728019e-06
ZSCAN2 (54993),-6.739416246079633e-06,6.739416246079633e-06
UBXN7 (26043),-6.7385058773276535e-06,6.7385058773276535e-06
NPY4R2 (100996758),6.736000834319074e-06,6.736000834319074e-06
STH (246744),6.734939426971332e-06,6.734939426971332e-06
SPRYD3 (84926),6.732880668639107e-06,6.732880668639107e-06
CIMIP7 (646498),-6.7317571662489704e-06,6.7317571662489704e-06
PLCL1 (5334),6.731571860661249e-06,6.731571860661249e-06
PCYT1B (9468),6.730652170514647e-06,6.730652170514647e-06
HS3ST4 (9951),-6.730519000512962e-06,6.730519000512962e-06
BLOC1S3 (388552),6.730018297665666e-06,6.730018297665666e-06
FSD1 (79187),-6.729768842774881e-06,6.729768842774881e-06
ARHGEF15 (22899),-6.729237124238705e-06,6.729237124238705e-06
RASA2 (5922),-6.728707754544501e-06,6.728707754544501e-06
FSTL4 (23105),6.728593094213111e-06,6.728593094213111e-06
ANKFN1 (162282),6.72825251599433e-06,6.72825251599433e-06
ALDOA (226),-6.7267437820369214e-06,6.7267437820369214e-06
CRLS1 (54675),6.726146920269368e-06,6.726146920269368e-06
EIF4A3 (9775),6.7261292594998835e-06,6.7261292594998835e-06
OR2A14 (135941),-6.726030422584864e-06,6.726030422584864e-06
RAB21 (23011),6.725928809551507e-06,6.725928809551507e-06
OPN1LW (5956),6.72500528791944e-06,6.72500528791944e-06
SUPT20HL2 (170067),6.724676626350328e-06,6.724676626350328e-06
INPP5E (56623),6.72437098644709e-06,6.72437098644709e-06
CACNG2 (10369),-6.7243070228412185e-06,6.7243070228412185e-06
TTC39C (125488),6.722879705559384e-06,6.722879705559384e-06
LCOR (84458),6.722459481342857e-06,6.722459481342857e-06
DNAAF3 (352909),6.721861134451727e-06,6.721861134451727e-06
LPAR5 (57121),6.721755901924183e-06,6.721755901924183e-06
TMEM218 (219854),6.7199532284798715e-06,6.7199532284798715e-06
PLXNB3 (5365),6.7192714215537586e-06,6.7192714215537586e-06
RADIL (55698),6.7187642713130045e-06,6.7187642713130045e-06
MPP1 (4354),-6.717881449077763e-06,6.717881449077763e-06
OR9G1 (390174),6.717423914233459e-06,6.717423914233459e-06
KLHDC7A (127707),6.7172459968995645e-06,6.7172459968995645e-06
ABCA6 (23460),-6.716658906941215e-06,6.716658906941215e-06
KCNJ13 (3769),6.713297697200615e-06,6.713297697200615e-06
PSG8 (440533),-6.711021485539272e-06,6.711021485539272e-06
PPP1R15A (23645),-6.71085896677521e-06,6.71085896677521e-06
ZNF597 (146434),-6.710051445629843e-06,6.710051445629843e-06
G6PC2 (57818),6.7098467472855526e-06,6.7098467472855526e-06
ASGR1 (432),-6.709343279631947e-06,6.709343279631947e-06
MEP1B (4225),6.7093239672766915e-06,6.7093239672766915e-06
SERTAD3 (29946),6.705805185398933e-06,6.705805185398933e-06
NDST3 (9348),-6.705658740719949e-06,6.705658740719949e-06
GLCE (26035),6.705614611727818e-06,6.705614611727818e-06
SLC5A1 (6523),6.704195697886399e-06,6.704195697886399e-06
YWHAB (7529),-6.7035284267735315e-06,6.7035284267735315e-06
MS4A8 (83661),-6.703469952205963e-06,6.703469952205963e-06
GPR137 (56834),6.703281585869288e-06,6.703281585869288e-06
LRRC39 (127495),-6.702952463148117e-06,6.702952463148117e-06
GNE (10020),-6.701144441607818e-06,6.701144441607818e-06
HSPB1 (3315),-6.700556256656475e-06,6.700556256656475e-06
